a;b;c;d
Ambrette;Musqué;fruité alcool saké, terreux iris arachide, boisé fut de chêne ;Iris, carotte, alcool de poire, saké, chocolat, cristallin, riz, graine de tournesol, fruit rouge, framboise, fut de chene, tabac blond, noix, cheveu brulé, buis, bogue de noix, mimosa, poudré, musqué
Amyris essence;Boisé;cédré, levure pain chaud, cuiré fumé;Riz blanc, santalé, pain chaud, osier, rosé, stérimar, salé, pate à sel, sparadrap, cédré, dentiste, irisé gras, plastique chaud fumé, styrax, vapeur, sac poubelle neuf, whisky, oud, levure, mimosa, petrichor, odeur de bitume en plein été, trottoir l'été avec l'orage
Angélique racine;Epicé;poivré, musqué, vert, encens;poivre vert, épicé, poivre blanc, fromage de chèvre, ambrette, vapeur, fer chaud, fleur de capucine, roquette, genièvre, encens, boisé, minéral, eau gazeuse
Armoise;Agreste;camphré romarin, menthé, conifère terpénique, sucré réglisse fruit sec;menthé, pin, terpénique, aromatique, eucalyptus, fusant, vert, miellé, essence, cannabis, réglisse, anisé, sapin, pharmaceutique, thé vert, thuya, champignon, camomille, sucré, fruit sec, cacaoté, poussiéreux
Baies roses HE;Epicé;térébenthine champignon, zesté gingembre, gin;Epicé baies roses moderne, frais, poisson, zesté, encaustique, boisé violette cédré, fruité gin, angélique, gingembre, noyau de mangue, papier, céleri, genévrier, carotte, cave, champignon
Basilic HE (à méthyl chavicol);Anisé;Réglisse, vert croquant, lavandé, graine carvis;Vert, tomate, menthé, épicé, citralé, subtilement cuiré daim, réglissé, anisé, plastiqu, graine, pastis, fumé phénolique, barbecue, médicinal, aromatique, mélisse, linalol, lavandé, champignon
Baume Tolu resinoide;Balsamique;Cinnamique, guimauve, miellé;baumé, vraiment cinnamique, vanillé, fumé, papier d'arménie, côté un peu poisson, vraiment l'épicé est dans la cannelle, miellé, réglisse, guimauve, + cinnamate, moins sombre, myrrhe, un peu amandé cerise, fraise séchée, fleur d'acacia
Baume Pérou résinoide;Balsamique;Chocolat, épicé, rhum liquoreux, musqué nitré;Rhum, vanillé, liquoreux, épicé, girofle, fumé, baumé cinnamique, papier d'arménie, chocolaté, poche de musc, renfermé, cave, féve torrefié, sève d'arbre, un peu pharmaceutique, poussiéreux, fruits secs datte pruneaux, lys, narcisse, nougat, miellé, côté foin presque, sucre roux, musc cétone
Bay HE;Epicé;Eugénol métallique, vert montant, butyrique, lys, zesté;poussiéreux, eugénol, épicé, clou, butyrique, vomi, vert, mousse, poivré, caprique, cis-3-hexenol, viande, aldéhydé, sang, vanille fumé, champignon, banane, chocolat, froid/chaud, safrol, phénolique, carpaccio, bouquet garni, pneu, béta caryo
Benjoin (Sumatra résinoide);Balsamique;Epicé cannelle girofle, fruité fraise fruits secs, lacté caramel sucre roux;Vanilline, poudré, cireux, fraise, baumé, boisé, papier d'arménie, aiguilles de sapin un peu grasse, lilas, girofle, cannelle, gras vanillé, banane séchée, sirop de fraise, doux balsamique du frangipanier
Bergamote HE;Zesté;Vert thé, lavandé fleur lfeur d'oranger, fruité marmelade;Lavandé, blé, fruité charnu, flurorescent, zeste de pamplemousse, fleur d'oranger sucré, savonneux
Bourgeon de cassis abs;Vert;fruité cassis, soufré pipi de chat, encens, animal;Narcisse, jonquille, cassis, viande, pipi de chat soufré, vert, poivre blanc, plastique, cyprès, animal, salé, gras, paillé (tapis de plage en paille), encens
Bucchu HE;Menthé;soufré, cassis, eucalyptus;soufré, cassis, menthé, eucalyptus, eau froide, pharmaceutique, bonbon vichy, poireaux, alliacé, feuille de tomate, aromatique, térébenthine, baies de genièvre, résine, mazout, ozonique, pin, corne brulée, gasoil, litchi, menthone, buis
Cade HE;Pyrogéné cuir;fumé goudron, boisé cèdre, aromatique pharmaceutique;fumé, chaussure, goudron, macadam, brûlé, cuiré, phénolique, viande, pharmaceutique camphré, craqué, feu de bois, encens, plastique brûlé, pétrole, anthranilé, train qui freine, cambouis, chaine de vélo, caryophyllène, pin, sent la bagle d'enceinte, le vieux vinyl
Calamus HE;Epicé;cuiré tanné, gourmand alimentaire, lacté;Eclair au chocolat, pate fourré, hyper sucré, café, chocolat, cuiré, miellé, cuir un peu industriel, viande, frigo, brioche, vieux savane rassi, moisissure, ovomaltine, malt, pouf du maroc, babouche, paillé, foin, chataigne, note lactée, quelque chose du costus
Camomille bleue HE;Coumariné foin;Fruité, liquoreux, graine;Fruité, liquoreux, graine, carotte, terreux, thé, fruits secs, foin, tabac, confituré, le rotin, le tabac, orangé, effet légèrement menthé
Camomille romaine HE;Coumariné foin;Fruité fruits secs, poussiéreux, thé;fruité, vineux, poussiéreux, rosé, épicé, foin, lie de vin, canon de fusil, mousse, patchouli, damascénone, tomate, davana, minéral, iris gras, acide gras, paillé, pate de fruits, butyrique, absolu de rose, champagne, thé, aromatique, rose de pot pourri, certains paniers en osier, tisane, banane séchée, figue sèche, chocolat, tabac blond
Cannelle ceylan écorce HE;Epicé;cinnamique, poussiéreux, balsamique;Cinnamique, pharmaceutique, poussiéreux, platre, poisson, peinture, aminé, chaud, balsamique, coca, rosé, cireux, gingembre
Cannelier feuille HE;Epicé;Cinnamique, eugénol, balsamique, paillé;cannelle, épicé, eugénol, pain d'épice, balsamique, fruit sec, coca, pimenté, plastique, chocolat chaud, thé de noel, camphré, laurier, fumé, encens, poisson, amandé, vin chaud
Cardamome HE;Epicé;Poivré conifère, zesté aldéhydé, poisson, camphré eucalyptus;Pin, nettoie-vitre, eucalyptus, épicé, chaussette sale, poisson, paella, blanc-turquoise-vert, levure, sardine, salé, aldéhydé, lavandin, terpénique, riz de cantine avec oignon, pain d'épice, poivré
Carotte graine;Epicé;Fruit sec, iris, terreux, liquoreux;Irisé, juteux, terreux, camphré, betterave, ambrette, liquoreux, fruité violette, cumin, céréale, muscade, eau de vie, camomille, paillé, fruit sec, thé, persil, carvi, ombellifère angélique, essence d'orange, marmelade
Carvis HE;Epicé;Iris, anisé, menthé, foin;Anisé, cumin, pain d'épice, menthé carvone, rond, gourmand, cannelle, foin, vert, paprika, contraste chaud/froid, café, arabic coffee, un peu pétrole, amandé, florale muguet, plastique, éponge mouillée
Cassie abs;Balsamique;Vert concombre, iris, cuiré, alliacé;Irisé, nonadiénal, poussiéreux, savonneux, menthé, vert, eau douce, concombre, salé, boisé cédré, mimosa, lacté, fleuri blanc, poivré, terreux, patate crue, betterave, bac à viande frigo, butyrique, caprique, aldéhydé, fleuri gras, pétrole, pollen, cuiré phénolique, sac en cuir, casto, foin, huile de lin, abricot, salé, vinaigré, lipstick
Cèdre Atlas HE;Boisé;Conifère, fumé goudron phénolique, animal;Champignon, pneu, forêt de pinède sèche, feutre, encre, fumé, épicé, damascone, ambre gris, platre trempé, aromatique, anisé, pharmaceutique, bois pourri, humide, bois traité contre les termites, les bandes blanches du passage piéton juste fait
Cèdre feuille HE;Conifère terpénique;Thuya, camphré, terreux champignon, fumé;Camphré, mentholé, armoise + blanc (terpinéol), montant vertical, concentré de sauce tomate, un peu cassis, sucré mais moins que l'armoise, vinaigré, champignon, un peu fir balsam, un peu soufré, , butyrique, citronelle, agrume (I. Doyen trouve l'armoise + romarin que le cèdre feuille)
Cèdre Virginie HE;Boisé;Conifère terpénique romarin, taillure de crayon, irisé carotte, épicé poivré;Fumé, irisé, violette, boisé cèdre, bouleau, cuiré, poudré, aromatique romarin plus onctueux, carotte, sombre mais propre, crayon papier, feuille de thé sèches, gras et sec
Céleri graine HE;Epicé;Anisé poivré, liquoreux (whisky), foin paillé, raisins secs fruits secs;Réglisse, anisé, mentholé, thé rapeux, carotte, sec, fruité raisin, raisin sec, liquoreux, paille, fenouil, céleri
Ciste-labdanum abs;Ambré;Résineux, conifère, liquoreux, cuiré;Craqué, terre séchée, goudron, pin brûlé, bœuf bourguignon, chèvre, whisky liquoreux, feuille morte, automne, ketchup, sucré, ambré, sucré, bourgeon de cassis, cireux, aromatique, vieil alcool
Citron HE;Zesté;Très frais, acidulé, verveine vert citralé;Citronné, zesté, écorce de citron, mojito, ensoleillé, rieur, acide, un peu sucré, nerveux, vert, aldéhydé, métallique
Citronnelle HE;Citralé;Zesté, poussiéreux, fruité litchi;Citralé, vert, rosé, géranium, anti-moustique, litchi agressif, champignon, gingembre, rapeux, poussiereux, papier chaud
Civette absolu;Animal;Fromage, miellé foin, scatolique;Animal, miel, foin, fumé, oud, trottoir, poussiéreux, peau, commencer à pleuvoir
Clou de girofle HE;Epicé;Métallique, chocolat vanillé fumé, aromatique;Chocolat, eugénol, poivré, coumariné, café, pain d'épice, chair de fraise, vanillé, œillet, brioche, raisin, métallique, pièce de monnaie, laurier, banane séchée
Coriandre graine HE;Epicé;Aldéhydé zesté, lavandé floral, poivré;Mandarine plus éteinte, camphré, masculin, terpénique, fruité camomille, linalol, poisson cru, poivré
Costus HE;Animal;Cheveux gras mouton, irisé, boisé;Animal paillé, fruit sec, irisé, calcaire, minéral, papier, odeur de journal, platre, boisé, pain, levure, poudré chaud, thé matcha, boisé sec, cuiré peau daim, sang en éloignant la mouillette, marin, sciure de bois, melon, boisé santalé, pieuvre, partie bleue de la gomme, pierre à fusil, corne brûlée, mouton et cheveux gras
Cumin graine HE;Epicé;Transpiration, farineux semoule, curry;Grosse cuisine, cumin, aisselle, riz, gras, lacté, carvis, vert croquant céleri, curry, chloré, poussiéreux, boue, amandé, se desséche, semoule, céréale, bière, feuille de shisho, punaise écrasée, étain, sciure de bois, pois chiche, le sable
Cyprès Espagne HE;Conifère terpénique;Poivré zesté, vert, boisé cédré;Laurier noble, terpénique, vert épicé, légèrement sauge, abricot, jus d'orange, térébenthine, boisé, fir balsam, un peu fumé, muscade
